,Title,Published_date,Views,Likes,Dislikes,Comments,Month
135,The 5 Pillars of Success I Live By,2020-09-11,10127,873,0,152,Sep
136,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,0,25,Sep
137,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4015,162,0,43,Sep
138,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11773,733,0,144,Sep
139,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17906,569,0,89,Sep
140,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17773,793,0,93,Aug
141,Why I'm Starting Data Science Over Again.,2020-08-29,50713,2604,0,450,Aug
142,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15024,624,0,76,Aug
143,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12717,456,0,55,Aug
144,Don't Buy My Course..,2020-08-21,7330,358,0,146,Aug
145,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29045,1112,0,166,Aug
146,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3229,129,0,40,Aug
147,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6308,537,0,108,Aug
148,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4959,183,0,39,Aug
149,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11869,376,0,53,Aug
150,The Plagiarism Problem in Data Science,2020-08-07,13041,629,0,145,Aug
151,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14370,601,0,89,Aug
152,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4891,187,0,56,Aug
153,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11343,579,0,90,Jul
154,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2312,116,0,34,Jul
155,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5579,251,0,112,Jul
156,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8197,246,0,199,Jul
157,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1851,98,0,27,Jul
158,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28903,562,0,90,Jul
159,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,320719,7166,0,423,Jul
160,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30203,1125,0,121,Jul
161,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3618,135,0,50,Jul
162,The Best Computer for Data Science Beginners,2020-07-10,37560,845,0,157,Jul
163,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6163,230,0,82,Jul
164,Critiquing MY OWN Data Science Resume,2020-07-06,12597,396,0,88,Jul
165,Where to Start Learning Data Science,2020-07-03,18672,782,0,126,Jul
166,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4109,196,0,37,Jul
167,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4569,176,0,52,Jun
168,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16166,547,0,79,Jun
169,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2405,82,0,40,Jun
170,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2384,139,0,49,Jun
171,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4337,168,0,46,Jun
172,Why You're Struggling to Learn Data Science,2020-06-12,15225,1010,0,159,Jun
173,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11523,355,0,70,Jun
174,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23673,683,0,146,Jun
175,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5697,155,0,53,Jun
176,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,70575,2162,0,268,May
177,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20959,490,0,81,May
178,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54461,1946,0,178,May
179,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11235,178,0,55,May
180,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,125993,4316,0,193,May
181,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,0,115,May
182,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4499,153,0,74,May
183,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1392325,49024,0,1998,May
184,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5509,196,0,42,May
185,What You Need to Know for a Data Science Internship,2020-05-01,21569,1181,0,59,May
186,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8331,349,0,54,Apr
187,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14976,459,0,103,Apr
188,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3102,85,0,24,Apr
189,5 Tips for Crushing the Work From Home Life,2020-04-20,5404,202,0,38,Apr
190,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20758,726,0,127,Apr
191,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,28529,717,0,98,Apr
192,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,42875,882,0,151,Apr
193,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,70708,1860,0,210,Apr
194,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,78515,1733,0,277,Apr
195,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,123777,3417,0,616,Apr
196,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,190153,4890,0,171,Apr
197,When Data Science Goes Wrong,2020-03-30,1801,105,0,32,Mar
198,How to ULTRALEARN Data Science,2020-03-27,61695,3820,0,169,Mar
199,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4388,267,0,50,Mar
200,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12775,461,0,45,Mar
201,The Secret Data Scientists Don't Want You to Know,2020-03-16,10695,1140,0,105,Mar
202,The 5 Stages of Learning Data Science,2020-03-13,17416,1297,0,78,Mar
203,Can You Learn Data Science Without a Computer?,2020-03-11,1652,110,0,14,Mar
204,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,344289,21149,0,622,Mar
205,The Data Science Projects that Got Me a Job,2020-03-06,40633,1394,0,41,Mar
206,How to Integrate Data Science into Your Business,2020-03-02,3367,127,0,18,Mar
207,The Problem with Data Science,2020-02-28,3779,154,0,19,Feb
208,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1155,46,0,16,Feb
209,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,124254,2401,0,97,Feb
210,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,323209,17672,0,525,Feb
211,Data Science Advice for College Students,2020-02-14,68790,1963,0,197,Feb
212,Avoid These Data Science Resume Mistakes!,2020-02-10,28167,1241,0,62,Feb
213,Data Science Explained with ... Cooking?,2020-02-07,5220,312,0,48,Feb
214,The 4 Types of Sports Analytics Projects,2020-02-03,30259,995,0,62,Feb
215,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,579,18,0,13,Jan
216,How I Learned Data Science,2020-01-27,93906,2692,0,210,Jan
217,What is Sports Analytics Really?,2020-01-20,20892,607,0,73,Jan
218,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110470,3124,0,582,Jan
219,How To Learn Programming for Data Science [3 Steps],2020-01-13,30014,1977,0,96,Jan
220,Data Science Fundamentals: SQL Queries,2020-01-10,6354,212,0,35,Jan
221,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3128,151,0,14,Jan
222,The 9 Books That Changed My Perspective in 2019,2020-01-03,3380,179,0,25,Jan
223,The Data Science Interview: What to Expect,2019-12-30,8441,375,0,32,Dec
224,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
